ID,CHOICE,VEH1,VEH2,VEH3,VEH4,VEH5,VEH6,ENG2,ENG3,AUD2,AUD3,ST2,ST3,SAF,WTY2,WTY3,PRICE
1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,30
1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,22
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,30
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,24
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,20
1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,22
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,30
1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,22
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,26
1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,26
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,30
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,20
1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,32
1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,24
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,24
1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,22
1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,30
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,30
1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,26
1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22
1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,28
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,28
1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,24
1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,22
1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,28
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24
1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,22
1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,30
1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,24
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,30
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,24
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,22
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,28
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,32
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,28
1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,28
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,24
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,24
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,32
1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,22
1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,28
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,24
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,24
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,32
1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,24
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,26
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,20
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,24
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,22
1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,26
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,32
1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,32
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,22
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,20
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,20
1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,24
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28
1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,24
1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,24
1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,22
1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,20
1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,30
2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,28
2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,24
2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,22
2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,26
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,22
2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,32
2,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,22
2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,20
2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,24
